trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
357,False,"{'a': 0.8, 'e': 0.027654414711223804}",20,9,20.7974801153623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.8, 'e': 0.027377870564111565}",30,7,34.36970708253892,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.8, 'e': 0.027104091858470448}",20,12,15.790478911288993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.8, 'e': 0.026833050939885743}",30,20,16.4461718011187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.8, 'e': 0.026564720430486886}",20,8,21.324718637185335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.8, 'e': 0.026299073226182017}",20,12,17.65616598869533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.8, 'e': 0.026036082493920195}",20,14,14.870386634030226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.8, 'e': 0.025775721668980994}",30,17,26.262521068452873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.8, 'e': 0.025517964452291184}",25,11,27.10908429748138,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.8, 'e': 0.025262784807768272}",25,17,13.67407446104993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.8, 'e': 0.02501015695969059}",20,11,19.487929134844517,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.8, 'e': 0.024760055390093683}",25,18,12.697767539844769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.8, 'e': 0.024512454836192746}",35,19,30.004069823792562,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.8, 'e': 0.02426733028783082}",20,6,24.581216862348228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.8, 'e': 0.02402465698495251}",30,20,17.754540630453526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.8, 'e': 0.023784410415102986}",25,19,12.524771184825426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.8, 'e': 0.023546566310951957}",20,13,13.105748145036006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.8, 'e': 0.023311100647842437}",25,13,-21.440042321056275,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
